SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
MMR010,Mandalay,MMR010031,Wundwin,သခွတ်မြင့် (အ.ထ.က) (ခွဲ),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ရွှေတောင် (အ.ထ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ခြင်္သေ့လက် (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ကျွတ်ကန် (အ.ထ.က) (ခွဲ),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,ထိန်ကန် (မူလွန်),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ရွာရှည် (အ.ထ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ကံကွေ့ (အ.လ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,ဘုရားဖြူ (အ.လ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကုန်း (ယောဂီဆောင်),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဒိုင်ကောင်းကုန်း (အ.ထ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,သင်္ဃန်းဆွဲ (တဲခိုစခန်း),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,ဆူးပန်း (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ကံစွယ် (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,မြောက်ပိုင်း (အ.မ.က),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,ဂုဏ်ရွာ (အ.ထ.က),31/3/2020,NA,NA,12
MMR010,Mandalay,MMR010031,Wundwin,ညောင်အုပ်ဖီး (အ.ထ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ခင်ကြီး (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,နေပူကုန်း (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဆပ်ခင်း (အ.ထ.က),31/3/2020,NA,NA,0
MMR010,Mandalay,MMR010031,Wundwin,သီးကုန်း (အ.လ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,လိန်ပင် (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,နတ်နန်း (အ.မ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ထနောင်းကုန်း (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း (မ) (မူလွန်),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,မကျီးအုပ် (အုပ်ချုပ်ရေးရုံး),31/3/2020,NA,NA,11
MMR010,Mandalay,MMR010031,Wundwin,သဘွတ်ကုန်း (ဆေးခန်း),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,မကျီးတော (အ.မ.က),31/3/2020,NA,NA,12
MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (တ) (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရွှေဖလားကန် (မ) (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ပေါက်တော (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,တမာကုန်း (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဇဝင်း (အ.မ.က),31/3/2020,NA,NA,45
MMR010,Mandalay,MMR010031,Wundwin,ရွာသစ် (အ.ထ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,သဖန်းပင် (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,သဲတောလေး (မူလွန်),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,အင်းယင်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ဒါးလှ (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,မြစ်သူငယ် (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ပေါက်ကံ (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,သစ်ပုလွေကန် (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ရှောက်တော (မူလွန်),31/3/2020,NA,NA,19
MMR010,Mandalay,MMR010031,Wundwin,ပုလဝါ (အ.မ.က),31/3/2020,NA,NA,10
MMR010,Mandalay,MMR010031,Wundwin,ဆင်သွေကွေ့ (အ.မ.က),31/3/2020,NA,NA,11
MMR010,Mandalay,MMR010031,Wundwin,တဲစု (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,96
MMR010,Mandalay,MMR010031,Wundwin,ပင်းတလဲ (အ.ထ.က),31/3/2020,NA,NA,8
MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (အ.မ.က),31/3/2020,NA,NA,87
MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (ဘ.က),31/3/2020,NA,NA,88
MMR010,Mandalay,MMR010031,Wundwin,ညောင်ကားယား (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ဖိုကုန်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရုံးပင်ကုန်း (အ.မ.က),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,မင်းကန် (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ပျားစွဲ (န) (အ.မ.က),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,သုံးဒေါင့်အိုင် (ဘုရားဓမ္မာရုံ),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,ကျင်းရွာ (အ.လ.က)(ခွဲ),31/3/2020,NA,NA,6
MMR010,Mandalay,MMR010031,Wundwin,အောင်ချမ်းသာ (အ.ထ.က),31/3/2020,NA,NA,9
MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း(တ) (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ရွာဝေ (အ.ထ.က)(ခွဲ),31/3/2020,NA,NA,5
MMR010,Mandalay,MMR010031,Wundwin,မြောက်ဆည် (အ.လ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ရာသင်္ချာ (အ.မ.က),31/3/2020,NA,NA,7
MMR010,Mandalay,MMR010031,Wundwin,တောင်ဆည် (အ.မ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ကုန်းကံ (အ.လ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,သဖန်း (အ.ထ.က)(ခွဲ၀,31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကန် (အ.မ.က),31/3/2020,NA,NA,4
MMR010,Mandalay,MMR010031,Wundwin,ထန်းပင်ကုန်း (ငှက်ပျောတောတဲ),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကြီး (အ.လ.က)(ခွဲ),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ဂျမ်းလုံ (အ.မ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,ကြပ်ကန် (အ.လ.က),31/3/2020,NA,NA,1
MMR010,Mandalay,MMR010031,Wundwin,(၂၉) စိုက်ကွင်း (အ.လ.က),31/3/2020,NA,NA,3
MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကျင်း (အ.မ.က),31/3/2020,NA,NA,2
MMR010,Mandalay,MMR010031,Wundwin,ထီးလှိုင် (ဆည်ရွာ) (အ.မ.က),31/3/2020,NA,NA,1
MMR006,Tanintharyi,MMR006001,Dawei,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,239
MMR006,Tanintharyi,MMR006004,Yebyu,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,20
MMR006,Tanintharyi,MMR006002,Launglon,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,892
MMR006,Tanintharyi,MMR006003,Thayetchaung,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,299
MMR006,Tanintharyi,MMR006005,Myeik,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,389
MMR006,Tanintharyi,MMR006006,Kyunsu,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,86
MMR006,Tanintharyi,MMR006007,Palaw,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,328
MMR006,Tanintharyi,MMR006008,Tanintharyi,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,223
MMR006,Tanintharyi,MMR006009,Kawthoung,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,148
MMR006,Tanintharyi,MMR006010,Bokpyin,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,116
MMR006,Tanintharyi,MMR006001,Dawei,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,3
MMR006,Tanintharyi,MMR006004,Yebyu,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,1
MMR006,Tanintharyi,MMR006002,Launglon,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006003,Thayetchaung,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006005,Myeik,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006006,Kyunsu,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006007,Palaw,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006008,Tanintharyi,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006009,Kawthoung,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006010,Bokpyin,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006001,Dawei,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006004,Yebyu,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006002,Launglon,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006003,Thayetchaung,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006005,Myeik,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006006,Kyunsu,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006007,Palaw,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006008,Tanintharyi,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006009,Kawthoung,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006010,Bokpyin,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006001,Dawei,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006004,Yebyu,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006002,Launglon,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006003,Thayetchaung,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006005,Myeik,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006006,Kyunsu,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006007,Palaw,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006008,Tanintharyi,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006009,Kawthoung,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006010,Bokpyin,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,0
MMR006,Tanintharyi,MMR006001,Dawei,စာသင်ကျောင်း/တက္ကသိုလ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,NA,NA,5
