State/Region,No. of facilities,Total no. of quaranitine people,Date,Remark
Magway,73,12546,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Magway,73,12546,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Magway,73,13980,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Magway,73,13980,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Magway,73,13980,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Magway,73,13980,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Magway,73,13787,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Magway,73,8696,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Magway,1879,8696,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Magway,1880,10299,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Magway,2694,9810,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Magway,2694,9810,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Magway,2694,18242,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Mandalay,804,5337,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Mandalay,883,5995,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Mandalay,933,6577,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Mandalay,933,6735,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Mandalay,933,6735,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Mandalay,933,5972,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Mandalay,933,5178,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Mandalay,804,4602,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Mandalay,804,4602,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Mandalay,795,4476,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Mandalay,765,4364,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Mandalay,779,4286,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Mandalay,784,4289,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Mandalay,784,4308,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Mon,435,7674,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Mon,476,8597,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Mon,479,8724,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Mon,484,4728,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Mon,484,4728,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Mon,484,2670,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Mon,484,2670,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Mon,486,1922,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Mon,169,1745,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Mon,169,1745,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Mon,486,1826,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Mon,152,1813,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Mon,151,1823,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Mon,149,1827,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Naypyitaw,5,667,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Naypyitaw,5,799,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Naypyitaw,5,809,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Naypyitaw,6,1059,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Naypyitaw,6,1040,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Naypyitaw,6,1022,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Naypyitaw,6,972,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Naypyitaw,6,936,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Naypyitaw,3,968,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Naypyitaw,3,976,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Naypyitaw,3,986,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Naypyitaw,3,1013,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Naypyitaw,3,1020,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Naypyitaw,3,1064,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Rakhine,9,245,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Rakhine,9,245,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Rakhine,17,331,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Rakhine,76,447,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Rakhine,109,664,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Rakhine,129,846,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Rakhine,129,846,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Rakhine,130,724,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Rakhine,139,737,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Rakhine,139,737,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Rakhine,136,806,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Rakhine,144,897,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Rakhine,144,895,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Rakhine,144,1015,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Sagaing,1231,5281,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Sagaing,1231,5281,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Sagaing,1293,11871,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Sagaing,6889,19190,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Sagaing,6889,19913,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Sagaing,6889,20696,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Sagaing,6889,17266,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Sagaing,1446,4820,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Sagaing,1446,17039,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Sagaing,1446,15518,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Sagaing,1446,4637,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Sagaing,1446,5446,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Sagaing,1446,6028,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Sagaing,1446,6692,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Shan (E),590,4160,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Shan (E),590,4160,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Shan (E),12,233,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Shan (E),21,1104,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Shan (E),21,1104,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Shan (E),26,1214,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (E),26,1214,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (E),20,973,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (E),21,935,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (E),21,935,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Shan (E),21,935,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (E),22,902,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Shan (E),22,961,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Shan (E),22,972,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Shan (N),61,5957,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Shan (N),61,5957,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Shan (N),164,3489,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Shan (N),268,1034,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Shan (N),268,1074,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Shan (N),268,1269,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (N),268,1269,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (N),200,1561,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (N),205,1426,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (N),208,1260,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Shan (N),208,1260,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (N),282,1654,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Shan (N),282,1805,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Shan (N),282,2087,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Shan (S),256,2262,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Shan (S),256,2262,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Shan (S),284,3329,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Shan (S),284,2602,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Shan (S),284,2897,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Shan (S),284,2510,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (S),423,2005,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (S),424,1626,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (S),221,1641,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Shan (S),218,1655,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Shan (S),218,1643,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (S),218,1701,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Shan (S),219,1681,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Shan (S),219,1690,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Tanintharyi,317,0,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Tanintharyi,317,0,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Tanintharyi,25,3635,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Tanintharyi,228,1278,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Tanintharyi,228,1144,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Tanintharyi,228,1137,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Tanintharyi,228,1110,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Tanintharyi,228,1067,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Tanintharyi,228,969,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Tanintharyi,228,845,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Tanintharyi,228,807,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Tanintharyi,228,769,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Tanintharyi,228,769,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Tanintharyi,228,674,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Yangon,26,2644,3/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -1 (4-4-2020)
Yangon,26,2644,4/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -2 (5-4-2020)
Yangon,79,3412,7/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report -3 (7-4-2020)
Yangon,81,3405,9/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 4 (9-4-2020)
Yangon,81,3066,10/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 5 (10-4-2020)
Yangon,81,2763,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Yangon,84,2598,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Yangon,84,2598,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Yangon,82,2505,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Yangon,77,2568,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Yangon,78,2622,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Yangon,22,1329,18/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 12 (18-4-2020)
Yangon,22,1329,19/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 13 (19-4-2020)
Yangon,22,1361,20/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 14 (20-4-2020)
Magway,1755,8754,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Sagaing,1468,7116,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Kachin,408,5082,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Mandalay,762,3814,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Bago,644,3659,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Kayin,425,2913,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Shan (N),233,2189,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Mon,149,1784,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Shan (S),219,1660,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Shan (E),39,1458,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Yangon,22,1346,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Naypyitaw,3,1035,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Rakhine,162,985,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Ayeyarwaddy,240,839,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Tanintharyi,228,633,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Kayar,18,138,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
Chin,33,133,21/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 15 (21-4-2020)
